Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 13:54:09,17.78,119.5,96.79,94.05,95.31,101.74,101.72,107.52,114.64,114.36,89.84,60.61,120.18,85.53,120.25,100.29,114.15,114.71,87.87,140.2,122.27,84.56,101.73,92.4,112.92,,30.5,965,37,31.11,965D6-(E1);
13.07.22 13:54:24,18.03,109.84,80.25,89.93,90.33,115.14,78.44,107.67,99.55,107.33,69.9,47.9,100.24,78.89,102,92.81,98.53,94.21,75.9,132.5,93.81,86.12,94.77,80.17,104.26,,30.5,965,37,31.13,965D6-(E1);
13.07.22 13:54:39,18.28,94.15,97.71,100.63,101.73,110.98,106.57,113.67,112.07,128.35,95.05,61.53,107.8,111.66,112.35,96.89,118.9,108.62,88.68,136.97,103.73,122.37,101.32,102.12,102.71,,30.5,965,37,31.15,965D6-(E1);
13.07.22 13:54:54,18.53,78.37,75.68,70.02,89.42,80.26,87.28,104.57,116.66,100.76,72.5,69.03,91.82,85.78,112.19,83.99,94.24,85.76,86.78,80.76,93.29,93.62,110.54,76.26,97.63,,30.5,965,37,31.16,965D6-(E1);
13.07.22 13:55:09,18.78,115.07,112.57,87.22,117.16,108.29,114.71,136.27,121.62,104.27,79.69,53.22,113.85,97.56,111.71,104.76,131.58,107.39,109.55,120.69,108.63,97.11,108.45,93.95,105.81,,30.5,965,37,31.19,965D6-(E1);
13.07.22 13:55:24,19.03,97.58,81.62,91.3,97.16,91.73,77.7,101.79,93.36,96.03,73,48.78,95.53,113.29,122.21,78.59,95.2,88.68,79.83,112.12,97.34,105.19,123.42,92.27,103.1,,30.5,965,37,31.21,965D6-(E1);
13.07.22 13:55:39,19.28,123.24,99.04,86.67,106.64,105.21,101.32,128.56,108.96,117.02,80.72,59,122.23,125.26,145.99,99.28,115.33,122.24,83.55,111.53,113.06,125.34,109.84,91.76,101.82,,30.5,965,37,31.22,965D6-(E1);
13.07.22 13:55:54,19.53,115.07,89.48,101.91,102.54,100.78,103.59,114.58,104.49,97.13,85.5,53.9,133.13,109.5,112.67,82.33,126.93,109.72,95.57,99.63,103.6,93.75,109.28,80.17,87.16,,30.5,965,37,31.26,965D6-(E1);
13.07.22 13:56:09,19.78,122.19,89.48,102.33,95.44,93.86,97.61,110.66,105.33,94.78,90.9,59.69,95.26,90.73,100.61,87.82,105.88,103.19,90.6,102.78,113.76,107.42,114.77,79.8,98.01,,30.5,965,37,31.26,965D6-(E1);
13.07.22 13:56:24,20.03,112.01,86.79,87.08,83.41,90.8,114.29,114.73,100.51,91.98,74.88,55.81,118.3,99.75,123.03,99.4,112.69,89.83,78.78,109.31,100.92,107,97.03,74.57,90.32,,30.5,965,37,31.29,965D6-(E1);
13.07.22 13:56:39,20.28,115.51,81.37,87.62,92.42,98.05,94.6,88.95,99.42,106.2,77.66,43.87,87.9,89.86,125.51,75.48,111.37,101.85,88.96,125.76,107.94,87.55,97.69,71.21,86.92,,30.5,965,37,31.32,965D6-(E1);
13.07.22 13:56:54,20.53,121.44,93.63,115.57,128.69,124.38,101.45,114.73,127.41,110.91,79.06,49.67,115.13,108.56,144.94,99.66,128.01,106.43,83.69,107.41,117.84,113.37,108.87,95.91,86.2,,30.5,965,37,31.33,965D6-(E1);
13.07.22 13:57:09,20.78,93.61,89.74,80,92.94,97.23,96.29,108.12,109.95,103.47,87.6,45.17,109.47,91.86,91.96,97.14,97.28,92.14,78.12,111.82,85.36,106.03,91.62,86.66,105.42,,30.5,965,37,31.36,965D6-(E1);
