"","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g11695.t1",41,4,30,13,31,13,66,10,68,31,13
"Pocillopora_acuta_HIv2___RNAseq.g81.t1",107,91,46,121,108,118,118,128,98,153,68
"Pocillopora_acuta_HIv2___RNAseq.g14988.t1",163,181,282,210,127,118,150,153,135,125,55
"Pocillopora_acuta_HIv2___RNAseq.g13988.t1",184,206,57,52,358,160,115,198,166,131,69
"Pocillopora_acuta_HIv2___RNAseq.g14755.t1",34,58,69,18,45,39,54,39,75,60,19
"Pocillopora_acuta_HIv2___RNAseq.g5773.t1",93,91,59,123,84,54,85,162,247,39,12
"Pocillopora_acuta_HIv2___RNAseq.g21909.t1",1022,718,661,588,782,650,996,811,963,689,327
"Pocillopora_acuta_HIv2___RNAseq.g10914.t1",20,16,26,31,34,14,40,12,35,35,17
"Pocillopora_acuta_HIv2___RNAseq.g25942.t1",825,798,981,972,967,684,853,734,909,629,486
"Pocillopora_acuta_HIv2___TS.g15421.t2",52,80,61,54,109,72,147,39,34,103,42
"Pocillopora_acuta_HIv2___RNAseq.g739.t1",169,254,91,36,90,237,71,152,143,90,36
"Pocillopora_acuta_HIv2___RNAseq.g6225.t1",182,168,290,233,248,157,160,192,217,218,69
"Pocillopora_acuta_HIv2___RNAseq.g11550.t1",14518,19739,13980,17282,19875,17361,19361,18064,15243,16355,20942
"Pocillopora_acuta_HIv2___RNAseq.g22289.t1",72,109,160,157,85,107,210,81,96,123,37
"Pocillopora_acuta_HIv2___RNAseq.g261.t1",520,548,262,291,298,870,286,618,470,506,269
"Pocillopora_acuta_HIv2___TS.g24434.t1",455,750,623,592,423,681,370,475,545,443,404
"Pocillopora_acuta_HIv2___RNAseq.g626.t1",716,833,474,627,671,647,953,852,725,848,122
"Pocillopora_acuta_HIv2___TS.g12998.t1",39,64,36,97,57,51,43,73,46,20,8
"Pocillopora_acuta_HIv2___RNAseq.g29164.t1",31,7,27,15,41,14,12,14,32,24,7
"Pocillopora_acuta_HIv2___TS.g17604.t3",876,626,910,929,769,824,728,746,968,904,480
"Pocillopora_acuta_HIv2___RNAseq.g25197.t1",136,228,193,201,127,151,153,154,140,147,26
"Pocillopora_acuta_HIv2___RNAseq.g27003.t1",186,309,86,100,61,417,96,286,185,118,114
"Pocillopora_acuta_HIv2___TS.g1039.t1",1514,1294,634,916,1958,1291,1941,912,1811,1747,1735
"Pocillopora_acuta_HIv2___RNAseq.g16986.t1",451,931,871,750,658,998,489,566,659,566,1137
"Pocillopora_acuta_HIv2___RNAseq.g8827.t1",3057,2803,3615,3508,3086,2432,2929,2828,2141,2915,1421
"Pocillopora_acuta_HIv2___RNAseq.g16188.t1",231,378,368,437,381,350,349,417,316,296,94
"Pocillopora_acuta_HIv2___RNAseq.10616_t",872,1267,656,777,976,924,1144,978,1093,927,449
"Pocillopora_acuta_HIv2___RNAseq.g25331.t1",441,471,494,452,492,506,556,562,446,600,177
"Pocillopora_acuta_HIv2___RNAseq.g25940.t1",2340,2952,1382,1532,2955,2075,2685,2568,2542,2445,582
"Pocillopora_acuta_HIv2___RNAseq.g16614.t1",264,235,255,275,216,216,251,191,223,236,177
"Pocillopora_acuta_HIv2___RNAseq.g19569.t1",106,70,87,129,51,46,93,55,116,83,55
"Pocillopora_acuta_HIv2___RNAseq.g8734.t2",202,319,48,60,296,140,196,136,242,160,70
"Pocillopora_acuta_HIv2___RNAseq.g8802.t1",47,73,27,82,57,26,62,82,32,72,32
"Pocillopora_acuta_HIv2___RNAseq.g18364.t1",105,67,140,135,70,71,136,57,103,99,38
"Pocillopora_acuta_HIv2___TS.g6579.t1",595,660,766,674,635,704,746,788,648,699,280
"Pocillopora_acuta_HIv2___RNAseq.g4605.t1",7,8,6,19,19,2,3,18,9,7,17
"Pocillopora_acuta_HIv2___TS.g25322.t1",347,372,254,242,405,302,406,352,415,379,83
